#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Channel_Type,Subscribers,Total_Views,Total_Videos
78,Ozuna @UCjIA3wwhi0QjSOXAZwOXbPA,35.2M,0.4%,Puerto Rico,Celebrity Music,10.6M,"Pop music, Music of Latin America, Music, Electronic music, Hip hop music",38100000,28714390237,292
79,YouTube @youtube.com,35.1M,-,United States,,10.5M,"Entertainment, Lifestyle (sociology)",45100000,1282317771,1488
80,Masha and The Bear @UCu59yAFE8fM0sVNTipR4edw,35.1M,-,United States,,10.5M,"Entertainment, Film, Television program",54900000,36142216509,2305
81,Bruno Mars @UCoUM-UJ7rirJYP8CQ0EIaHA,34.8M,0.2%,,,10.4M,"Soul music, Music, Pop music, Rhythm and blues, Electronic music",43500000,25370021231,120
82,Jkk Entertainment @UC5tuYcCdiKuF5Y2ZonuarwA,34.5M,0.2%,,,10.4M,"Entertainment, Film, Humour",38700000,17831588945,289
83,Maria Clara & JP @UCKe6w0exI94U-RzqAyoY1VA,33.8M,0.1%,Brazil,,10.1M,"Hobby, Lifestyle (sociology), Entertainment",50200000,35323914210,1188
84,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,India,,10.1M,"Music of Asia, Music",41000000,29177781144,9686
85,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33.6M,0.2%,India,Video Gaming,10.1M,"Simulation video game, Action-adventure game, Video game culture, Action game, Casual game, Role-playing video game",45600000,5106525874,574
86,J Balvin @UCt-k6JwNWHMXDBGm9IYHdsg,33.6M,-,Colombia,,10.1M,"Lifestyle (sociology), Music of Latin America, Music, Hip hop music",35200000,27466632646,389
87,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33.5M,-,India,,10.1M,"Society, Politics",50500000,27241722090,572011
88,VEGETTA777 @UCam8T03EOFBsNdR0thrFHdQ,33.5M,-,,,10.1M,"Action game, Role-playing video game, Video game culture, Action-adventure game",34700000,16363838947,8802
89,Markiplier @UC7_YxT-KID8kRbqZo7MyscQ,33.5M,0.4%,United States,,10.1M,"Action-adventure game, Video game culture, Action game, Role-playing video game",38600000,23458432773,5844
90,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33M,1.8%,India,,9.9M,"Music, Performing arts, Music of Asia, Entertainment, Hobby, Lifestyle (sociology)",34200000,11394989387,330
91,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,United Kingdom,Music,9.9M,"Electronic music, Music, Pop music",34300000,12339894552,2092
